model,accuracy,precision,recall,f1,roc_auc
xgboost,0.5861304623179228,0.30897822718747453,0.8487903225806451,0.4530399952173133,0.7463845086607025
random_forest,0.7997376277933592,0.6456692913385826,0.018369175627240143,0.03572206490960575,0.7261071415293172
decision_tree,0.7481226816248983,0.351931330472103,0.2939068100358423,0.3203125,0.7176093896468958
logistic_regression,0.6543472360445128,0.31781167565087737,0.6207437275985663,0.42038989607828264,0.6857297318451122
